"date","time","size","r_version","r_arch","r_os","package","version","country","ip_id"
"2015-01-01","03:49:54",34899,NA,NA,NA,"tgram","0.2-2","CN",607
"2015-01-01","03:49:54",514,NA,NA,NA,"thermocouple","1.0.0","CN",607
"2015-01-01","03:49:55",514,NA,NA,NA,"thgenetics","0.3-4","CN",607
"2015-01-01","03:49:55",512,NA,NA,NA,"threeboost","1.1","CN",607
"2015-01-01","03:49:56",32677,NA,NA,NA,"threeboost","1.1","CN",607
"2015-01-01","03:49:56",514,NA,NA,NA,"threg","1.0.2","CN",607
"2015-01-01","03:49:56",512,NA,NA,NA,"tibbrConnector","1.5.0-71","CN",607
"2015-01-01","03:49:57",514,NA,NA,NA,"tictoc","1.0","CN",607
"2015-01-01","03:49:57",513,NA,NA,NA,"tidyr","0.2.0","CN",607
"2015-01-01","03:49:58",78013,NA,NA,NA,"tidyr","0.2.0","CN",607
"2015-01-01","03:49:58",514,NA,NA,NA,"tiff","0.1-5","CN",607
"2015-01-01","03:49:58",516,NA,NA,NA,"tiger","0.2.3.1","CN",607
"2015-01-01","03:49:59",198124,"3.0.3","x86_64","mingw32","coda","0.16-1","CA",631
"2015-01-01","03:50:00",520570,"3.1.2","x86_64","linux-gnu","rjags","3-14","CA",631
"2015-01-01","03:49:38",3330120,"3.0.2","x86_64","linux-gnu","rattle","3.4.1","BH",596
"2015-01-01","03:49:12",36164,"3.1.2","x86_64","linux-gnu","manipulate","1.0.1","BT",579
"2015-01-01","03:46:47",165882,"3.1.2","x86_64","linux-gnu","RMySQL","0.9-3","US",73
"2015-01-01","03:49:01",2344342,"3.1.2","x86_64","linux-gnu","rgl","0.95.1201","SA",628
"2015-01-01","03:48:15",568035,"3.1.2","x86_64","linux-gnu","rJava","0.9-6","US",79
"2015-01-01","03:48:30",30625,"3.1.1","x86_64","linux-gnu","DBI","0.3.1","US",79
"2015-01-01","03:49:43",77537,"3.1.2","x86_64","linux-gnu","gmodels","2.15.4.1","HK",598
"2015-01-01","03:50:41",27355,"3.1.2","x86_64","linux-gnu","leaps","2.9","US",632
"2015-01-01","03:50:10",3502964,NA,NA,NA,"tiger","0.2.3.1","CN",607
"2015-01-01","03:50:11",516,NA,NA,NA,"tigerstats","0.2","CN",607
"2015-01-01","03:50:18",1965660,NA,NA,NA,"tigerstats","0.2","CN",607
"2015-01-01","03:50:18",514,NA,NA,NA,"tightClust","1.0","CN",607
"2015-01-01","03:50:19",516,NA,NA,NA,"tikzDevice","0.7.0","CN",607
"2015-01-01","03:50:23",1378620,NA,NA,NA,"tikzDevice","0.7.0","CN",607
"2015-01-01","03:50:24",516,NA,NA,NA,"tileHMM","1.0-6","CN",607
"2015-01-01","03:50:33",4156069,NA,NA,NA,"tileHMM","1.0-6","CN",607
"2015-01-01","03:50:33",514,NA,NA,NA,"timeDate","3011.99","CN",607
"2015-01-01","03:50:34",514,NA,NA,NA,"timeROC","0.2","CN",607
"2015-01-01","03:50:35",110126,NA,NA,NA,"timeROC","0.2","CN",607
"2015-01-01","03:50:35",516,NA,NA,NA,"timeSeries","3011.98","CN",607
"2015-01-01","03:50:40",1604146,NA,NA,NA,"timeSeries","3011.98","CN",607
"2015-01-01","03:50:41",512,NA,NA,NA,"timeit","0.2.1","CN",607
"2015-01-01","03:50:42",25773,NA,NA,NA,"timeit","0.2.1","CN",607
"2015-01-01","03:50:42",512,NA,NA,NA,"timeline","0.9","CN",607
"2015-01-01","03:50:43",22323,NA,NA,NA,"timeline","0.9","CN",607
"2015-01-01","03:50:43",513,NA,NA,NA,"timeordered","0.9.7","CN",607
"2015-01-01","03:50:44",82644,NA,NA,NA,"timeordered","0.9.7","CN",607
"2015-01-01","03:50:45",514,NA,NA,NA,"timereg","1.8.6","CN",607
"2015-01-01","03:50:41",1450541,"3.0.2","x86_64","linux-gnu","runjags","1.2.1-0","CA",631
"2015-01-01","03:50:51",514,NA,NA,NA,"timetools","1.6.5","CN",607
"2015-01-01","03:50:51",516,NA,NA,NA,"timma","1.0.0","CN",607
"2015-01-01","03:48:12",2170106,"3.1.2","x86_64","linux-gnu","Rcpp","0.11.3","US",79
"2015-01-01","03:50:40",11448,"3.0.2","x86_64","linux-gnu","ellipse","0.3-8","US",632
"2015-01-01","03:50:41",436690,"3.0.2","x86_64","linux-gnu","scatterplot3d","0.3-35","US",632
"2015-01-01","03:48:51",507622,"3.1.2","x86_64","linux-gnu","rpart.plot","1.5.1","CN",633
